id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
189,3324,"Boiler, tank, and shipping container manufacturing",11,88862,8468,292,10,67986,8755,357
190,33242,Metal tank (heavy gauge) manufacturing,3,n/d,n/d,n/d,n/d,n/d,n/d,n/d
191,33243,"Metal can, box, and other metal container (light gauge) manufacturing",7,68816,3638,98,7,50563,3501,151
192,3326,Spring and wire product manufacturing,3,906,297,29,3,1764,284,32
193,33261,Spring and wire product manufacturing,3,906,297,29,n/d,n/d,n/d,n/d
194,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",40,20896,4590,254,29,12765,3103,168
195,33271,Machine shops,23,5316,1467,119,16,2870,730,66
196,33272,"Turned product and screw, nut, and bolt manufacturing",17,15579,3122,135,13,9895,2374,103
197,3328,"Coating, engraving, heat treating, and allied activities",6,12034,2811,124,7,15871,3622,164
198,33281,"Coating, engraving, heat treating, and allied activities",6,12034,2811,124,n/d,n/d,n/d,n/d
199,3329,Other fabricated metal product manufacturing,33,82895,16811,770,31,110318,14609,742
200,33291,Metal valve manufacturing,4,8117,1531,75,n/d,n/d,n/d,n/d
201,33299,All other fabricated metal product manufacturing,29,74778,15279,695,n/d,n/d,n/d,n/d
202,333,Machinery manufacturing,38,655073,65368,2055,41,734124,64937,2426
203,3333,Commercial and service industry machinery manufacturing,6,11143,1506,55,6,10869,1414,92
204,33331,Commercial and service industry machinery manufacturing,6,11143,1506,55,n/d,n/d,n/d,n/d
205,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",13,n/d,n/d,n/d,13,n/d,n/d,n/d
206,33341,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",13,n/d,n/d,n/d,n/d,n/d,n/d,n/d
207,3335,Metalworking machinery manufacturing,11,10664,1875,84,12,21907,2910,189
208,33351,Metalworking machinery manufacturing,11,10664,1875,84,n/d,n/d,n/d,n/d
209,3339,Other general purpose machinery manufacturing,6,272073,44229,1133,9,296911,47626,1506
210,33399,All other general purpose machinery manufacturing,5,268776,42570,1092,n/d,n/d,n/d,n/d
211,334,Computer and electronic product manufacturing,25,5778871,150168,3631,30,1426791,124618,3442
